idx,name,census_type,census_type_value,pct_category,pct,LI_greater_than_MC,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,POINT_X,POINT_Y,Assessed_Value_Sum,Avg_Assessed_Value
37,York,c2016_150K_to_200K,42,Pct_150K_to_200K,0.0444444,1,0.4708995,0.4645503,0.0645503,-113.4295149,53.60285955,307700000,262991.453
38,York,c2016_200K_to_250K,14,Pct_200K_to_250K,0.0148148,1,0.4708995,0.4645503,0.0645503,-113.4295149,53.60285955,307700000,262991.453
39,York,c2016_250K_or_more,5,Pct_250K_or_more,0.005291,1,0.4708995,0.4645503,0.0645503,-113.4295149,53.60285955,307700000,262991.453
40,Callingwood South,c2016_Less_than_30K,265,Pct_less_than_30k,0.2221291,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
41,Callingwood South,c2016_30K_to_60K,439,Pct_30K_to_60K,0.3679799,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
42,Callingwood South,c2016_60K_to_100K,344,Pct_60K_to_100K,0.2883487,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
43,Callingwood South,c2016_100K_to_125K,89,Pct_100K_to_125K,0.0746018,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
44,Callingwood South,c2016_125K_to_150K,29,Pct_125K_150K,0.0243085,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
45,Callingwood South,c2016_150K_to_200K,16,Pct_150K_to_200K,0.0134116,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
46,Callingwood South,c2016_200K_to_250K,7,Pct_200K_to_250K,0.0058676,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
47,Callingwood South,c2016_250K_or_more,4,Pct_250K_or_more,0.0033529,1,0.590109,0.387259,0.022632,-113.6228453,53.50065609,235979000,142758.0157
48,Empire Park,c2016_Less_than_30K,128,Pct_less_than_30k,0.1319588,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
49,Empire Park,c2016_30K_to_60K,385,Pct_30K_to_60K,0.3969072,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
50,Empire Park,c2016_60K_to_100K,345,Pct_60K_to_100K,0.3556701,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
51,Empire Park,c2016_100K_to_125K,79,Pct_100K_to_125K,0.0814433,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
52,Empire Park,c2016_125K_to_150K,19,Pct_125K_150K,0.0195876,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
